pilot_name,team_name,track_city,dnf_percent,avg_speed,wins_count,number_of_overtaking_last_year,driver_salary_mln,penalty_points,personal_position,collision
Gasly,Alpine,Baku,19,251.9970564864821,63,11,26,4,7,0
Alonso,Aston Martin,Abu Dhabi,14,217.44631214179617,62,96,44,1,1,0
Piastri,McLaren,Mexico City,0,313.4061458697405,14,65,10,7,18,1
Albon,Williams,Silverstone,12,224.75208991706143,43,5,44,10,3,0
Hamilton,Ferrari,Singapore,12,226.9271604494634,30,15,24,7,11,1
Norris,McLaren,Barcelona,22,201.31800095813992,79,7,22,1,16,1
Hulkenberg,Sauber,Monaco,2,98.65043627163848,53,87,22,6,9,1
Antonelli,Mercedes,Monza,23,251.89800707042335,13,32,39,10,9,0
Hadjar,Racing Bulls,Miami,1,271.17931990915173,57,8,15,2,11,0
Leclerc,Ferrari,Silverstone,7,72.14563487467535,41,23,47,3,11,1
Gasly,Alpine,Shanghai,21,149.31868384482428,55,21,39,1,11,1
Tsunoda,Red Bull Racing,Singapore,18,163.72367139858687,9,20,11,3,9,0
Leclerc,Ferrari,Mexico City,6,214.6961302384102,81,7,41,7,2,0
Leclerc,Ferrari,Abu Dhabi,26,88.14188556296223,53,52,64,10,14,1
Hadjar,Racing Bulls,Sakhir,10,133.49641625236904,83,13,26,3,11,1
Alonso,Aston Martin,Las Vegas,20,102.91648542632878,37,37,30,6,16,1
Lawson,Racing Bulls,Singapore,6,221.68754261319532,70,93,45,8,16,1
Stroll,Aston Martin,Austin,7,88.61315910337387,70,52,15,10,15,1
Gasly,Alpine,Abu Dhabi,7,117.8916973384056,14,89,3,5,9,1
Sainz,Williams,Mexico City,13,86.4202469453375,20,4,30,9,14,1
Norris,McLaren,Las Vegas,1,149.63758122848688,52,81,9,6,12,1
Leclerc,Ferrari,Sakhir,18,254.32061351363603,99,20,9,9,16,1
Verstappen,Red Bull,Shanghai,25,166.23044034084464,75,22,19,1,19,1
Hulkenberg,Sauber,Sakhir,2,222.73911295389192,12,3,25,9,7,0
Russel,Mercedes,Melbourne,23,272.00623735002387,25,20,57,4,20,1
Antonelli,Mercedes,Baku,23,189.59017300294832,25,91,45,3,6,0
Colapinto,Alpine,Austin,24,54.84756244025022,67,81,11,9,9,1
Leclerc,Ferrari,Lusail,1,77.25968178775534,4,93,48,5,18,1
Colapinto,Alpine,Suzuka,24,183.43483713668408,20,41,15,11,16,1
Sainz,Williams,Singapore,9,260.26408060271854,33,96,24,5,19,0
Gasly,Alpine,Sakhir,24,83.4292990826405,9,90,50,2,3,1
Gasly,Alpine,Sao Paulo,6,82.16400389814513,50,85,52,3,2,1
Stroll,Aston Martin,Shanghai,10,85.4514900674324,41,42,32,4,12,1
Albon,Williams,Melbourne,13,311.4770277340269,59,11,41,11,18,1
Alonso,Aston Martin,Singapore,20,145.80776771248313,22,10,16,3,19,1
Russel,Mercedes,Spielberg,13,241.79586916321063,28,57,21,8,11,1
Hadjar,Racing Bulls,Monaco,22,67.46498128218748,26,44,28,1,12,1
Hulkenberg,Sauber,Barcelona,10,76.14444184065287,29,26,18,4,18,1
Alonso,Aston Martin,Montreal,6,183.52367871422376,28,92,31,11,18,1
Antonelli,Mercedes,Abu Dhabi,5,81.25462577528305,15,70,27,10,17,1
Gasly,Alpine,Singapore,23,326.46576457877336,59,5,65,9,11,1
Hadjar,Racing Bulls,Miami,0,52.55942315830997,69,75,6,5,16,1
Hamilton,Ferrari,Zandvoort,25,267.66600044816005,0,65,21,11,17,1
Hadjar,Racing Bulls,Silverstone,11,269.4624496102209,71,27,24,8,18,1
Colapinto,Alpine,Monaco,29,278.6720333712408,83,19,27,0,9,0
Hulkenberg,Sauber,Baku,4,61.21976329920417,4,12,9,4,20,1
Lawson,Racing Bulls,Austin,20,233.73214776106937,60,43,11,1,18,1
Colapinto,Alpine,Shanghai,24,110.90891700964096,53,97,29,11,6,1
Lawson,Racing Bulls,Sao Paulo,0,125.34218143084829,18,61,49,7,7,1
Verstappen,Red Bull,Shanghai,22,270.1145650602706,81,16,28,6,7,0
Norris,McLaren,Silverstone,7,151.423899888481,10,86,6,6,19,1
Piastri,McLaren,Monaco,12,195.3547393933554,77,36,58,0,11,0
Bearman,Haas,Austin,29,289.2618657580827,54,13,15,1,17,1
Bortoleto,Sauber,Las Vegas,13,178.6502636893832,82,17,13,7,8,0
Sainz,Williams,Abu Dhabi,5,210.5244954435228,90,33,4,4,6,0
Bortoleto,Sauber,Shanghai,29,90.15123102420202,19,68,39,9,7,1
Stroll,Aston Martin,Las Vegas,19,166.59286589579213,25,33,17,9,4,0
Albon,Williams,Miami,23,243.45926563221627,40,95,57,11,16,1
Gasly,Alpine,Suzuka,27,127.02886367321334,58,86,17,2,9,1
Piastri,McLaren,Suzuka,0,278.98493944190864,51,87,26,7,14,1
Norris,McLaren,Budapest,18,281.33330562368457,95,10,35,0,1,0
Hamilton,Ferrari,Abu Dhabi,3,272.3775515862057,1,69,6,8,5,1
Piastri,McLaren,Silverstone,24,88.10679701286715,44,92,41,7,14,1
Gasly,Alpine,Montreal,1,313.0224881920247,1,64,3,8,12,1
Verstappen,Red Bull,Jeddah,11,290.52271470418646,88,57,38,7,5,0
Ocon,Haas,Jeddah,3,82.85699476223783,54,91,65,3,11,1
Norris,McLaren,Sao Paulo,15,196.7084229332522,66,60,32,9,18,1
Hadjar,Racing Bulls,Monza,18,157.58838387815535,58,31,59,7,8,0
Gasly,Alpine,Sakhir,2,106.5724569566908,35,21,31,5,5,1
Lawson,Racing Bulls,Austin,29,236.25356395608708,73,7,16,0,1,0
Antonelli,Mercedes,Austin,5,224.95972067650857,76,48,50,4,18,0
Leclerc,Ferrari,Sakhir,18,336.7985495407053,66,1,36,2,19,1
Verstappen,Red Bull,Monaco,15,68.84056656647289,1,35,36,4,16,1
Alonso,Aston Martin,Sao Paulo,21,306.551293685899,44,82,20,2,2,0
Hadjar,Racing Bulls,Montreal,4,331.1481974780394,42,48,32,3,4,0
Hulkenberg,Sauber,Jeddah,24,90.64545264562214,61,81,31,9,14,1
Stroll,Aston Martin,Abu Dhabi,18,88.00582705511027,18,53,27,0,8,1
Hamilton,Ferrari,Montreal,12,322.5774304702516,13,69,37,2,12,0
Hulkenberg,Sauber,Baku,19,204.13232467590046,26,35,23,2,8,0
Norris,McLaren,Sao Paulo,19,176.559071484193,64,3,24,6,12,1
Russel,Mercedes,Abu Dhabi,22,171.3215693100688,92,91,1,7,16,1
Antonelli,Mercedes,Singapore,9,92.87744230565163,82,18,51,1,13,1
Bortoleto,Sauber,Monza,16,235.64197095563676,40,49,61,0,13,1
Stroll,Aston Martin,Spielberg,26,324.4927049849016,0,96,39,2,18,1
Hulkenberg,Sauber,Las Vegas,19,263.99069131774377,53,70,36,0,6,0
Stroll,Aston Martin,Mexico City,20,76.40532887722505,39,59,5,1,9,1
Norris,McLaren,Spa,27,246.2313227015229,19,65,54,9,8,1
Verstappen,Red Bull,Lusail,22,77.57605408714763,27,22,3,8,1,1
Russel,Mercedes,Melbourne,27,58.714289287243496,89,45,39,8,1,1
Russel,Mercedes,Spa,9,132.8871451310764,71,1,12,5,1,1
Hamilton,Ferrari,Melbourne,21,189.96324678589258,8,30,8,3,14,1
Hulkenberg,Sauber,Budapest,25,87.0647714420692,9,83,57,9,13,1
Hamilton,Ferrari,Abu Dhabi,9,286.9819201752789,34,34,44,0,14,0
Ocon,Haas,Imola,11,62.19720674837379,35,87,61,8,13,1
Russel,Mercedes,Barcelona,11,250.00173766315092,67,61,19,6,9,0
Piastri,McLaren,Barcelona,20,149.1742679886933,88,21,29,9,9,1
Antonelli,Mercedes,Budapest,9,125.63164020073117,65,31,54,4,8,1
Verstappen,Red Bull,Imola,5,285.9038392841369,66,36,30,3,20,0
Leclerc,Ferrari,Miami,9,286.9411442657812,61,10,12,3,1,0
Gasly,Alpine,Imola,29,256.5661824596647,58,45,5,1,13,1
Antonelli,Mercedes,Budapest,22,73.03128798798963,55,47,1,7,14,1
Stroll,Aston Martin,Shanghai,1,68.53798783730566,71,96,34,7,20,1
Colapinto,Alpine,Austin,23,259.8594231387407,4,73,54,9,6,1
Hulkenberg,Sauber,Spa,21,63.90697872701754,67,46,64,0,16,1
Gasly,Alpine,Sao Paulo,13,173.1375952331582,27,42,25,8,3,0
Stroll,Aston Martin,Monaco,12,238.8048418927315,32,11,40,2,2,0
Bortoleto,Sauber,Suzuka,6,282.1893495977436,50,93,15,10,18,1
Leclerc,Ferrari,Baku,6,96.4788696384292,78,38,14,8,5,1
Ocon,Haas,Miami,27,145.9367008943738,86,2,56,4,17,1
Stroll,Aston Martin,Abu Dhabi,26,160.5097833215118,53,34,60,8,19,1
Ocon,Haas,Monza,6,82.93735164121193,85,15,28,7,16,1
Gasly,Alpine,Montreal,19,273.47567946702844,83,50,1,9,4,0
Alonso,Aston Martin,Sakhir,20,248.21362194687615,95,23,29,3,17,1
Antonelli,Mercedes,Melbourne,5,232.3807965238964,73,89,45,10,5,0
Verstappen,Red Bull,Monaco,25,108.27238996920198,52,78,56,2,3,1
Tsunoda,Red Bull Racing,Austin,12,274.12481530656845,99,11,21,11,9,0
Lawson,Racing Bulls,Las Vegas,22,336.18569190093683,97,21,21,10,2,0
Sainz,Williams,Sao Paulo,10,276.3899876345338,59,86,57,11,20,1
Tsunoda,Red Bull Racing,Jeddah,23,309.26778335632247,79,5,24,10,6,0
Leclerc,Ferrari,Spa,28,121.81190579662629,8,49,51,8,19,1
Verstappen,Red Bull,Singapore,23,223.83019864151998,46,61,42,2,1,0
Hadjar,Racing Bulls,Spielberg,20,124.79831816658549,62,47,36,3,2,1
Colapinto,Alpine,Imola,19,313.08531930133825,20,25,30,2,1,0
Hamilton,Ferrari,Spielberg,24,249.02619727566093,61,17,27,9,12,1
Bearman,Haas,Silverstone,21,282.0811856505823,81,1,57,1,11,1
Hulkenberg,Sauber,Lusail,29,122.03856061909269,84,15,32,5,4,1
Hamilton,Ferrari,Sao Paulo,4,115.10548669324679,48,10,13,8,2,1
Norris,McLaren,Imola,10,60.848862733258656,92,33,47,9,20,1
Russel,Mercedes,Barcelona,3,216.83815845390401,46,68,3,3,15,0
Ocon,Haas,Spa,4,304.613000536817,67,46,4,6,17,1
Hadjar,Racing Bulls,Lusail,11,200.86215124275176,67,95,32,3,8,0
Lawson,Racing Bulls,Jeddah,8,66.10573869959565,66,65,33,6,20,1
Albon,Williams,Mexico City,17,177.63981034786838,55,77,24,9,10,0
Ocon,Haas,Imola,6,181.83700689218136,32,20,61,6,19,1
Bearman,Haas,Suzuka,5,321.527300371242,61,3,7,1,6,0
Antonelli,Mercedes,Sakhir,9,128.42541215932292,90,76,28,1,2,1
Hulkenberg,Sauber,Jeddah,16,160.175154554518,49,20,17,5,1,0
Russel,Mercedes,Zandvoort,10,229.95575724907084,46,79,20,11,5,0
Hadjar,Racing Bulls,Sao Paulo,0,172.52902110565168,86,34,51,8,6,0
Stroll,Aston Martin,Baku,12,178.84576864411105,89,38,32,1,4,0
Tsunoda,Red Bull Racing,Shanghai,25,112.7988616528172,33,0,40,6,14,1
Stroll,Aston Martin,Lusail,10,179.39640176536918,43,4,29,7,8,0
Verstappen,Red Bull,Mexico City,29,296.72046454256946,99,41,65,7,2,1
Norris,McLaren,Budapest,15,296.3131123917796,21,95,56,7,8,0
Hamilton,Ferrari,Abu Dhabi,19,50.097209257059546,82,7,24,11,16,1
Piastri,McLaren,Zandvoort,21,119.33227290212064,69,33,27,8,8,1
Stroll,Aston Martin,Spielberg,19,336.1064798079805,86,13,1,2,14,1
Sainz,Williams,Shanghai,14,181.90559099343898,54,36,65,1,8,0
Hamilton,Ferrari,Spielberg,25,167.8896297667672,10,73,61,2,3,0
Hadjar,Racing Bulls,Montreal,6,237.9571745820475,74,34,44,4,18,0
Hamilton,Ferrari,Melbourne,5,312.6143429022701,66,1,55,2,8,0
Norris,McLaren,Las Vegas,26,198.24861808802737,1,31,6,11,18,1
Stroll,Aston Martin,Spielberg,16,77.2131243806562,50,66,46,7,3,1
Gasly,Alpine,Austin,9,66.56108242919765,70,27,43,0,16,1
Gasly,Alpine,Sakhir,15,50.52665804704554,26,91,32,2,9,1
Hadjar,Racing Bulls,Melbourne,3,133.2746162043338,78,42,53,9,3,1
